song,artist,date
XXX.,Kendrick Lamar Featuring U2,2017-05-05
Feel.,Kendrick Lamar,2017-05-05
Pride.,Kendrick Lamar,2017-05-05
The Cure,Lady Gaga,2017-05-05
Lust.,Kendrick Lamar,2017-05-05
Fear.,Kendrick Lamar,2017-05-05
Blood.,Kendrick Lamar,2017-05-05
God.,Kendrick Lamar,2017-05-05
Duckworth.,Kendrick Lamar,2017-05-05
Good Life,G-Eazy & Kehlani,2017-05-05
Peek A Boo,Lil Yachty Featuring Migos,2017-05-05
Black SpiderMan,Logic Featuring Damian Lemar Hudson,2017-05-05
Broken Halos,Chris Stapleton,2017-05-05
The Night We Met,Lord Huron,2017-05-05
There's Nothing Holdin' Me Back,Shawn Mendes,2017-05-12
Lust For Life,Lana Del Rey Featuring The Weeknd,2017-05-12
Attention,Charlie Puth,2017-05-12
Do Re Mi,blackbear,2017-05-12
Hard Times,Paramore,2017-05-12
My Girl,Dylan Scott,2017-05-12
I'm The One,"DJ Khaled Featuring Justin Bieber, Quavo, Chance The Rapper & Lil Wayne",2017-05-19
1-800-273-8255,Logic Featuring Alessia Cara & Khalid,2017-05-19
First Time,Kygo & Ellie Goulding,2017-05-19
Thunder,Imagine Dragons,2017-05-19
Bon Appetit,Katy Perry Featuring Migos,2017-05-19
Privacy,Chris Brown,2017-05-19
Slow Hands,Niall Horan,2017-05-19
Magnolia,Playboi Carti,2017-05-19
Sweet Creature,Harry Styles,2017-05-19
Wokeuplikethis*,Playboi Carti Featuring Lil Uzi Vert,2017-05-19
Malibu,Miley Cyrus,2017-05-26
Every Time I Hear That Song,Blake Shelton,2017-05-26
Either Way,Chris Stapleton,2017-05-26
Drinkin' Problem,Midland,2017-05-26
Rollin,Calvin Harris Featuring Future & Khalid,2017-06-02
Bad Liar,Selena Gomez,2017-06-02
Whatever It Takes,Imagine Dragons,2017-06-02
Felices Los 4,Maluma,2017-06-02
No Promises,Cheat Codes Featuring Demi Lovato,2017-06-02
Ghost In This House,Lauren Duski,2017-06-02
Me Enamore,Shakira,2017-06-02
Strip That Down,Liam Payne Featuring Quavo,2017-06-09
Deja Vu,Lauren Duski,2017-06-09
Swish Swish,Katy Perry Featuring Nicki Minaj,2017-06-09
Crying In The Club,Camila Cabello,2017-06-09
Money On You,Chris Blue,2017-06-09
Yours If You Want It,Rascal Flatts,2017-06-09
Most Girls,Hailee Steinfeld,2017-06-09
The Dance,Lauren Duski,2017-06-09
Boy,Lee Brice,2017-06-09
Somethin Tells Me,Bryson Tiller,2017-06-16
Self-Made,Bryson Tiller,2017-06-16
Met Gala,Gucci Mane Featuring Offset,2017-06-16
Don't Get Too High,Bryson Tiller,2017-06-16
No Such Thing As A Broken Heart,Old Dominion,2017-06-16
Run Me Dry,Bryson Tiller,2017-06-16
There For You,Martin Garrix x Troye Sivan,2017-06-16
No Longer Friends,Bryson Tiller,2017-06-16
Butterfly Effect,Travis Scott,2017-06-16
Strangers,Halsey Featuring Lauren Jauregui,2017-06-16
Down,Fifth Harmony Featuring Gucci Mane,2017-06-23
To The Max,DJ Khaled Featuring Drake,2017-06-23
4 AM,2 Chainz Featuring Travis Scott,2017-06-23
Whatever You Need,Meek Mill Featuring Chris Brown & Ty Dolla $ign,2017-06-23
Small Town Boy,Dustin Lynch,2017-06-23
Know No Better,"Major Lazer Featuring Travis Scott, Camila Cabello & Quavo",2017-06-23
It's Everyday Bro,Jake Paul Featuring Team 10,2017-06-23
Somebody Else Will,Justin Moore,2017-06-23
Nobody Else But You,Trey Songz,2017-06-23
2U,David Guetta Featuring Justin Bieber,2017-06-30
Love Galore,SZA Featuring Travis Scott,2017-06-30
Do I Make You Wanna,Billy Currington,2017-06-30
Escapate Conmigo,Wisin Featuring Ozuna,2017-06-30
What Ifs,Kane Brown Featuring Lauren Alaina,2017-06-30
It's A Vibe,"2 Chainz Featuring Ty Dolla $ign, Trey Songz & Jhene Aiko",2017-06-30
It Ain't My Fault,Brothers Osborne,2017-06-30
Wild Thoughts,DJ Khaled Featuring Rihanna & Bryson Tiller,2017-07-07
Feels,"Calvin Harris Featuring Pharrell Williams, Katy Perry & Big Sean",2017-07-07
First Day Out,Kodak Black,2017-07-07
Relationship,Young Thug Featuring Future,2017-07-07
Feel It Still,Portugal. The Man,2017-07-07
Real Hitta,Plies Featuring Kodak Black,2017-07-07
Signs,Drake,2017-07-14
Don't Quit,DJ Khaled & Calvin Harris Featuring Travis Scott & Jeremih,2017-07-14
No Complaints,Metro Boomin Featuring Offset & Drake,2017-07-14
On Everything,"DJ Khaled Featuring Travis Scott, Rick Ross & Big Sean",2017-07-14
Crew,GoldLink Featuring Brent Faiyaz & Shy Glizzy,2017-07-14
Mi Gente,J Balvin & Willy William Featuring Beyonce,2017-07-21
Rake It Up,Yo Gotti Featuring Nicki Minaj,2017-07-21
Bodak Yellow (Money Moves),Cardi B,2017-07-21
Who Dat Boy,"Tyler, The Creator",2017-07-21
Heartache On The Dance Floor,Jon Pardi,2017-07-21
Extra Luv,Future Featuring YG,2017-07-21
The Story Of O.J.,JAY-Z,2017-07-28
Praying,Kesha,2017-07-28
Bank Account,21 Savage,2017-07-28
4:44,JAY-Z,2017-07-28
Bam,"JAY-Z Featuring Damian ""Jr. Gong"" Marely",2017-07-28
Family Feud,JAY-Z Featuring Beyonce,2017-07-28
Sorry Not Sorry,Demi Lovato,2017-07-28
Kill Jay Z,JAY-Z,2017-07-28
Smile,JAY-Z Featuring Gloria Carter,2017-07-28
Caught Their Eyes,JAY-Z Featuring Frank Ocean,2017-07-28
Moonlight,JAY-Z,2017-07-28
Glorious,Macklemore Featuring Skylar Grey,2017-07-28
Marcy Me,JAY-Z,2017-07-28
Get Low,Zedd & Liam Payne,2017-07-28
Fetish,Selena Gomez Featuring Gucci Mane,2017-07-28
Famous,21 Savage,2017-07-28
A Lie,French Montana Featuring The Weeknd & Max B,2017-08-04
Jerika,Jake Paul & Erika Costell Featuring Uncle Kade,2017-08-04
Young Dumb & Broke,Khalid,2017-08-04
Woman,Kesha Featuring The Dap-Kings Horns,2017-08-04
Numb,Linkin Park,2017-08-11
In The End,Linkin Park,2017-08-11
Back To You,Louis Tomlinson Featuring Bebe Rexha & Digital Farm Animals,2017-08-11
What's My Name,"China Anne McClain, Thomas Doherty & Dylan Playfair",2017-08-11
Issues,Meek Mill,2017-08-11
Wins & Losses,Meek Mill,2017-08-11
It's Goin' Down,Descendants 2 Cast,2017-08-11
1942 Flows,Meek Mill,2017-08-11
Imitadora,Romeo Santos,2017-08-11
We Ball,Meek Mill Featuring Young Thug,2017-08-11
F**k That Check Up,Meek Mill Featuring Lil Uzi Vert,2017-08-11
Heavy Heart,Meek Mill,2017-08-11
You Da Baddest,Future Featuring Nicki Minaj,2017-08-18
Unforgettable,Thomas Rhett,2017-08-18
When It Rains It Pours,Luke Combs,2017-08-18
They Don't Know,Jason Aldean,2017-08-18
Honest,The Chainsmokers,2017-08-18
The Weekend,SZA,2017-08-18
New Rules,Dua Lipa,2017-08-18
Wish I Knew You,The Revivalists,2017-08-18
Every Little Thing,Carly Pearce,2017-08-18
Learn To Let Go,Kesha,2017-08-18
All The Pretty Girls,Kenny Chesney,2017-08-18
For Her,Chris Lane,2017-08-18
The Race,Tay-K,2017-08-25
Patty Cake,Kodak Black,2017-08-25
OMG,Camila Cabello Featuring Quavo,2017-08-25
What About Us,P!nk,2017-08-25
Perplexing Pegasus,Rae Sremmurd,2017-08-25
B.E.D.,Jacquees,2017-08-25
Chillin' Like A Villain,"Sofia Carson, Cameron Boyce, Booboo Stewart & Mitchell Hope",2017-08-25
Havana,Camila Cabello Featuring Young Thug,2017-08-25
Silence,Marshmello Featuring Khalid,2017-09-01
More Girls Like You,Kip Moore,2017-09-01
Something New,Wiz Khalifa Featuring Ty Dolla $ign,2017-09-01
Untouchable,YoungBoy Never Broke Again,2017-09-01
I Could Use A Love Song,Maren Morris,2017-09-01
Fix A Drink,Chris Janson,2017-09-01
Friends,Justin Bieber + BloodPop,2017-09-08
I Get The Bag,Gucci Mane Featuring Migos,2017-09-08
Roll In Peace,Kodak Black Featuring XXXTENTACION,2017-09-08
Look What You Made Me Do,Taylor Swift,2017-09-08
Younger Now,Miley Cyrus,2017-09-08
Its Every Night Sis,RiceGum Featuring Alissa Violet,2017-09-08
Transportin',Kodak Black,2017-09-08
Questions,Chris Brown,2017-09-08
Jocelyn Flores,XXXTENTACION,2017-09-15
The Way Life Goes,Lil Uzi Vert Featuring Nicki Minaj,2017-09-15
F**k Love,XXXTENTACION Featuring Trippie Redd,2017-09-15
Sauce It Up,Lil Uzi Vert,2017-09-15
Everybody Dies In Their Nightmares,XXXTENTACION,2017-09-15
444+222,Lil Uzi Vert,2017-09-15
What Lovers Do,Maroon 5 Featuring SZA,2017-09-15
Light It Up,Luke Bryan,2017-09-15
Revenge,XXXTENTACION,2017-09-15
Neon Guts,Lil Uzi Vert Featuring Pharrell Williams,2017-09-15
Two,Lil Uzi Vert,2017-09-15
X,Lil Uzi Vert,2017-09-15
For Real,Lil Uzi Vert,2017-09-15
UnFazed,Lil Uzi Vert Featuring The Weeknd,2017-09-15
No Sleep Leak,Lil Uzi Vert,2017-09-15
Depression & Obsession,XXXTENTACION,2017-09-15
Dark Queen,Lil Uzi Vert,2017-09-15
Save Me,XXXTENTACION,2017-09-15
Carry On,XXXTENTACION,2017-09-15
Tell Me You Love Me,Demi Lovato,2017-09-15
...Ready For It?,Taylor Swift,2017-09-22
These Heaux,Bhad Bhabie,2017-09-22
Bad At Love,Halsey,2017-09-22
Greatest Love Story,LANCO,2017-09-22
Sky Walker,Miguel Featuring Travis Scott,2017-09-22
No Fear,DeJ Loaf,2017-09-22
Too Good At Goodbyes,Sam Smith,2017-09-29
Dusk Till Dawn,Zayn Featuring Sia,2017-09-29
Love So Soft,Kelly Clarkson,2017-09-29
I'll Name The Dogs,Blake Shelton,2017-09-29
Found You,Kane Brown,2017-09-29
Gucci Gang,Lil Pump,2017-09-29
No Limit,G-Eazy Featuring A$AP Rocky & Cardi B,2017-09-29
Pills And Automobiles,"Chris Brown Featuring Yo Gotti, A Boogie Wit da Hoodie & Kodak Black",2017-09-29
Let Me Go,Hailee Steinfeld & Alesso Featuring Florida Georgia Line & Watt,2017-09-29
Rockstar,Post Malone Featuring 21 Savage,2017-10-06
Too Much To Ask,Niall Horan,2017-10-06
Curve,Gucci Mane Featuring The Weeknd,2017-10-06
DNA,BTS,2017-10-06
Homemade Dynamite,"Lorde Featuring Khalid, Post Malone & SZA",2017-10-06
I Fall Apart,Post Malone,2017-10-13
Good Old Days,Macklemore Featuring Kesha,2017-10-13
Losing Sleep,Chris Young,2017-10-13
Like I Loved You,Brett Young,2017-10-13
Round Here Buzz,Eric Church,2017-10-13
Plain Jane,A$AP Ferg Featuring Nicki Minaj,2017-10-13
Hi Bich,Bhad Bhabie,2017-10-20
No Promises,A Boogie Wit da Hoodie,2017-10-20
Say A',A Boogie Wit da Hoodie,2017-10-20
Undefeated,A Boogie Wit da Hoodie Featuring 21 Savage,2017-10-20
Beast Mode,A Boogie Wit da Hoodie Featuring PnB Rock & YoungBoy Never Broke Again,2017-10-20
Smooth,Florida Georgia Line,2017-10-20
Almost Like Praying,Lin-Manuel Miranda Featuring Artists For Puerto Rico,2017-10-27
Pray,Sam Smith Featuring Logic,2017-10-27
How Long,Charlie Puth,2017-10-27
Heaven,Kane Brown,2017-10-27
Dear Hate,Maren Morris Featuring Vince Gill,2017-10-27
Lights Down Low,MAX Featuring gnash,2017-10-27
Too Hotty,"Quavo, Takeoff & Offset",2017-10-27
High End,Chris Brown Featuring Future & Young Thug,2017-11-03
Yours,Russell Dickerson,2017-11-03
Let You Down,NF,2017-11-03
Stunting Ain't Nuthin,Gucci Mane Featuring Slim Jxmmi & Young Dolph,2017-11-03
You Broke Up With Me,Walker Hayes,2017-11-03
Mayores,Becky G Featuring Bad Bunny,2017-11-03
Ask Me How I Know,Garth Brooks,2017-11-03
Gorgeous,Taylor Swift,2017-11-10
Patek Water,Future & Young Thug Featuring Offset,2017-11-10
Meant To Be,Bebe Rexha & Florida Georgia Line,2017-11-10
No Cap,Future & Young Thug,2017-11-10
Feed Me Dope,Future,2017-11-10
All Da Smoke,Future & Young Thug,2017-11-10
Candy Paint,Post Malone,2017-11-10
Wolves,Selena Gomez X Marshmello,2017-11-10
4 Da Gang,Future,2017-11-10
Bedroom Floor,Liam Payne,2017-11-10
Three,Future & Young Thug,2017-11-10
MotorSport,"Migos, Nicki Minaj & Cardi B",2017-11-17
Ghostface Killers,"21 Savage, Offset & Metro Boomin Featuring Travis Scott",2017-11-17
Ric Flair Drip,Offset & Metro Boomin,2017-11-17
Rap Saved Me,"21 Savage, Offset & Metro Boomin Featuring Quavo",2017-11-17
My Choppa Hate N****s,21 Savage & Metro Boomin,2017-11-17
All On Me,Devin Dawson,2017-11-17
Call It What You Want,Taylor Swift,2017-11-24
Lemon,N*E*R*D & Rihanna,2017-11-24
Rubbin Off The Paint,YBN Nahmir,2017-11-24
Wait,Maroon 5,2017-11-24
Pull Up N Wreck,Big Sean & Metro Boomin Featuring 21 Savage,2017-11-24
Mad Stalkers,"21 Savage, Offset & Metro Boomin",2017-11-24
Nightmare,Offset & Metro Boomin,2017-11-24
Walk On Water,Eminem Featuring Beyonce,2017-12-01
Gummo,6ix9ine,2017-12-01
Wanted You,NAV Featuring Lil Uzi Vert,2017-12-01
Female,Keith Urban,2017-12-01
Betrayed,Lil Xan,2017-12-01
The Plan,G-Eazy,2017-12-01
Pick It Up,Famous Dex Featuring A$AP Rocky,2017-12-01
Echame La Culpa,Luis Fonsi & Demi Lovato,2017-12-08
Awful Things,Lil Peep,2017-12-08
End Game,Taylor Swift Featuring Ed Sheeran & Future,2017-12-08
Home,"Machine Gun Kelly, X Ambassadors & Bebe Rexha",2017-12-08
When We,Tank,2017-12-08
Beautiful Trauma,P!nk,2017-12-08
No Smoke,YoungBoy Never Broke Again,2017-12-08
The Rest Of Our Life,Tim McGraw & Faith Hill,2017-12-08
Written In The Sand,Old Dominion,2017-12-08
Faking It,Calvin Harris Featuring Kehlani & Lil Yachty,2017-12-08
MIC Drop,BTS Featuring Desiigner,2017-12-15
Codeine Dreaming,Kodak Black Featuring Lil Wayne,2017-12-15
Krippy Kush,"Farruko, Nicki Minaj, Bad Bunny, 21 Savage & Rvssian",2017-12-15
Legends,Kelsea Ballerini,2017-12-15
Total Eclipse Of The Heart,Chloe Kohanski,2017-12-15
Perro Fiel,Shakira Featuring Nicky Jam,2017-12-15
Him & I,G-Eazy & Halsey,2017-12-22
Kooda,6ix9ine,2017-12-22
Juice,Yo Gotti,2017-12-22
Bella y Sensual,Romeo Santos Featuring Nicky Jam & Daddy Yankee,2017-12-22
Marry Me,Thomas Rhett,2017-12-22
Five More Minutes,Scotty McCreery,2017-12-22
Criminal,Natti Natasha x Ozuna,2017-12-22
Never Be The Same,Camila Cabello,2017-12-29
Go Legend,Big Sean & Metro Boomin Featuring Travis Scott,2017-12-29
Dark Knight Dummo,Trippie Redd Featuring Travis Scott,2017-12-29
My Dawg,Lil Baby,2017-12-29
Danger,Migos & Marshmello,2017-12-29
Untouchable,Eminem,2017-12-29
Bartier Cardi,Cardi B Featuring 21 Savage,2018-01-05
River,Eminem Featuring Ed Sheeran,2018-01-05
La Modelo,Ozuna x Cardi B,2018-01-05
Eye 2 Eye,Huncho Jack Featuring Takeoff,2018-01-05
Modern Slavery,Huncho Jack,2018-01-05
Thunder/Young Dumb & Broke (Medley),Imagine Dragons + Khalid,2018-01-05
Black & Chinese,Huncho Jack,2018-01-05
Ice Tray,Quavo & Lil Yachty,2018-01-05
Dubai Shit,Huncho Jack Featuring Offset,2018-01-05
Huncho Jack,Huncho Jack,2018-01-05
Motorcycle Patches,Huncho Jack,2018-01-05
Saint,Huncho Jack,2018-01-05
Stir Fry,Migos,2018-01-05
Finesse,Bruno Mars & Cardi B,2018-01-12
One Foot,WALK THE MOON,2018-01-12
This Is Me,Keala Settle & The Greatest Showman Ensemble,2018-01-12
Rewrite The Stars,Zac Efron & Zendaya,2018-01-12
Never Enough,Loren Allred,2018-01-12
Corazon,Maluma X Nego do Borel,2018-01-12
The Greatest Show,"Hugh Jackman, Keala Settle, Zac Efron, Zendaya & The Greatest Showman Ensemble",2018-01-12
Best Friend,"Sofi Tukker Featuring NERVO, The Knocks & Alisa Ueno",2018-01-12
Filthy,Justin Timberlake,2018-01-19
All The Stars,Kendrick Lamar & SZA,2018-01-19
For You (Fifty Shades Freed),Liam Payne & Rita Ora,2018-01-19
Nowadays,Lil Skies Featuring Landon Cube,2018-01-19
I Miss You,Clean Bandit Featuring Julia Michaels,2018-01-19
Red Roses,Lil Skies Featuring Landon Cube,2018-01-19
The Champion,Carrie Underwood Featuring Ludacris,2018-01-26
KEKE,"6ix9ine, Fetty Wap & A Boogie Wit da Hoodie",2018-01-26
Outside Today,YoungBoy Never Broke Again,2018-01-26
My My My!,Troye Sivan,2018-01-26
Tequila,Dan + Shay,2018-01-26
King's Dead,"Jay Rock, Kendrick Lamar, Future & James Blake",2018-01-26
IDGAF,Dua Lipa,2018-01-26
El Bano,Enrique Iglesias Featuring Bad Bunny,2018-01-26
God's Plan,Drake,2018-02-02
Diplomatic Immunity,Drake,2018-02-02
Mine,Bazzi,2018-02-02
Sick Boy,The Chainsmokers,2018-02-02
Supplies,Justin Timberlake,2018-02-02
No Name,NF,2018-02-02
Rock,Plies,2018-02-02
Say Something,Justin Timberlake Featuring Chris Stapleton,2018-02-09
Walk It Talk It,Migos Featuring Drake,2018-02-09
The Middle,"Zedd, Maren Morris & Grey",2018-02-09
You Make It Easy,Jason Aldean,2018-02-09
Narcos,Migos,2018-02-09
BBO (Bad Bitches Only),Migos Featuring 21 Savage,2018-02-09
Notice Me,Migos Featuring Post Malone,2018-02-09
Supastars,Migos,2018-02-09
White Sand,"Migos Featuring Travis Scott, Ty Dolla $ign & Big Sean",2018-02-09
Gang Gang,Migos,2018-02-09
New Freezer,Rich The Kid Featuring Kendrick Lamar,2018-02-09
Higher We Go (Intro),Migos,2018-02-09
Auto Pilot,Migos,2018-02-09
Emoji A Chain,Migos,2018-02-09
El Farsante,Ozuna & Romeo Santos,2018-02-09
Most People Are Good,Luke Bryan,2018-02-09
CC,Migos Featuring Gucci Mane,2018-02-09
Pray For Me,The Weeknd & Kendrick Lamar,2018-02-16
Man Of The Woods,Justin Timberlake,2018-02-16
Dura,Daddy Yankee,2018-02-16
Hardaway,Derez De'Shon,2018-02-16
At The Club,Jacquees X Dej Loaf,2018-02-16
The Long Way,Brett Eldredge,2018-02-16
Singles You Up,Jordan Davis,2018-02-16
A Girl Like You,Easton Corbin,2018-02-16
Look Alive,BlocBoy JB Featuring Drake,2018-02-23
X,"ScHoolboy Q, 2 Chainz & Saudi",2018-02-23
Plug Walk,Rich The Kid,2018-02-23
The Ways,Khalid & Swae Lee,2018-02-23
Paramedic!,SOB X RBE,2018-02-23
Big Shot,Kendrick Lamar & Travis Scott,2018-02-23
Friends,Marshmello & Anne-Marie,2018-02-23
Black Panther,Kendrick Lamar,2018-02-23
I Like Me Better,Lauv,2018-02-23
Love Lies,Khalid & Normani,2018-03-02
Get You,Daniel Caesar Featuring Kali Uchis,2018-03-02
Psycho,Post Malone Featuring Ty Dolla $ign,2018-03-09
44 More,Logic,2018-03-09
Billy,6ix9ine,2018-03-09
Want You Back,5 Seconds Of Summer,2018-03-09
RONDO,6ix9ine Featuring Tory Lanez & Young Thug,2018-03-09
Booty,Blac Youngsta,2018-03-09
She's With Me,High Valley,2018-03-09
Break Up In The End,Cole Swindell,2018-03-09
Make Me Feel,Janelle Monae,2018-03-09
Sad!,XXXTENTACION,2018-03-16
Top Off,"DJ Khaled Featuring JAY Z, Future & B",2018-03-16
Everyday,Logic & Marshmello,2018-03-16
No Excuses,Meghan Trainor,2018-03-16
Changes,XXXTENTACION,2018-03-16
Powerglide,Rae Sremmurd & Juicy J,2018-03-16
X,Nicky Jam x J Balvin,2018-03-16
Stranger Things,Joyner Lucas & Chris Brown,2018-03-16
Tempo,Chris Brown,2018-03-16
Sativa,Jhene Aiko Featuring Swae Lee Or Rae Sremmurd,2018-03-16
I Lived It,Blake Shelton,2018-03-16
Broken Clocks,SZA,2018-03-16
Zombie,Bad Wolves,2018-03-23
Indica Badu,Logic Featuring Wiz Khalifa,2018-03-23
Contra,Logic,2018-03-23
NBAYoungboat,Lil Yachty Featuring NBA YoungBoy,2018-03-23
Overnight,Logic,2018-03-23
66,Lil Yachty Featuring Trippie Redd,2018-03-23
Midnight,Logic,2018-03-23
Wassup,Logic Featuring Big Sean,2018-03-23
Delicate,Taylor Swift,2018-03-23
Yuck,Logic,2018-03-23
Boom!,Lil Yachty Featuring Ugly God,2018-03-23
BoomTrap Protocol,Logic,2018-03-23
Warm It Up,Logic Featuring Young Sinatra,2018-03-23
Freaky Friday,Lil Dicky Featuring Chris Brown,2018-03-30
Moonlight,XXXTENTACION,2018-03-30
Found / Tonight,Lin-Manuel Miranda & Ben Platt,2018-03-30
The Remedy For A Broken Heart (Why Am I So In Love),XXXTENTACION,2018-03-30
In My Blood,Shawn Mendes,2018-03-30
Numb,XXXTENTACION,2018-03-30
Infinity (888),XXXTENTACION Featuring Joey Bada$$,2018-03-30
One Number Away,Luke Combs,2018-03-30
Sit Next To Me,Foster The People,2018-03-30
Going Down!,XXXTENTACION,2018-03-30
Everybody Hates Me,The Chainsmokers,2018-03-30
Say Amen (Saturday Night),Panic! At The Disco,2018-04-06
Lost In Japan,Shawn Mendes X Zedd,2018-04-06
Japan,Famous Dex,2018-04-06
Up Down,Morgan Wallen Featuring Florida Georgia Line,2018-04-06
For The First Time,Darius Rucker,2018-04-06
No Roots,Alice Merton,2018-04-06
Call Out My Name,The Weeknd,2018-04-13
Be Careful,Cardi B,2018-04-13
Try Me,The Weeknd,2018-04-13
Wasted Times,The Weeknd,2018-04-13
I Was Never There,The Weeknd Featuring Gesaffelstein,2018-04-13
Hurt You,The Weeknd Featuring Gesaffelstein,2018-04-13
Medicine,Queen Naija,2018-04-13
Privilege,The Weeknd,2018-04-13
Boo'd Up,Ella Mai,2018-04-13
OKRA,"Tyler, The Creator",2018-04-13
Take Back Home Girl,Chris Lane Featuring Tori Kelly,2018-04-13
"Woman, Amen",Dierks Bentley,2018-04-13
Proud,2 Chainz Featuring YG & Offset,2018-04-13
Focus,H.E.R.,2018-04-13
Nice For What,Drake,2018-04-20
I Like It,"Cardi B, Bad Bunny & J Balvin",2018-04-20
Drip,Cardi B Featuring Migos,2018-04-20
I Do,Cardi B Featuring SZA,2018-04-20
Ring,Cardi B Featuring Kehlani,2018-04-20
Get Up 10,Cardi B,2018-04-20
Best Life,Cardi B Featuring Chance The Rapper,2018-04-20
Bickenhead,Cardi B,2018-04-20
Thru Your Phone,Cardi B,2018-04-20
She Bad,Cardi B & YG,2018-04-20
Money Bag,Cardi B,2018-04-20
Diamond Teeth Samurai,YoungBoy Never Broke Again,2018-04-20
One Kiss,Calvin Harris & Dua Lipa,2018-04-20
A$AP Forever,A$AP Rocky Featuring Moby,2018-04-20
Barbie Tingz,Nicki Minaj,2018-04-20
Get Along,Kenny Chesney,2018-04-20
Chun-Li,Nicki Minaj,2018-04-20
Alone,Halsey Featuring Big Sean & Stefflon Don,2018-04-20
Esskeetit,Lil Pump,2018-04-27
Cry Pretty,Carrie Underwood,2018-04-27
Let Me,Zayn,2018-04-27
Guatemala,Swae Lee Featuring Slim Jxmmi,2018-04-27
Anybody,Young Thug Featuring Nicki Minaj,2018-04-27
Gotti,6ix9ine,2018-04-27
No Tears Left To Cry,Ariana Grande,2018-05-04
ATM,J. Cole,2018-05-04
Kevin's Heart,J. Cole,2018-05-04
KOD,J. Cole,2018-05-04
Photograph,J. Cole,2018-05-04
Motiv8,J. Cole,2018-05-04
1985 (Intro To The Fall Off),J. Cole,2018-05-04
The Cut Off,J. Cole Featuring kiLL edward,2018-05-04
Brackets,J. Cole,2018-05-04
Window Pain (Outro),J. Cole,2018-05-04
Friends,J. Cole Featuring kiLL edward,2018-05-04
Once An Addict (Interlude),J. Cole,2018-05-04
Intro,J. Cole,2018-05-04
OTW,"Khalid, Ty Dolla $ign & 6LACK",2018-05-04
Babe,Sugarland Featuring Taylor Swift,2018-05-04
Te Bote,"Casper Magico, Nio Garcia, Darell, Nicky Jam, Ozuna & Bad Bunny",2018-05-04
Dame Tu Cosita,Pitbull x El Chombo x Karol G Featuring Cutty Ranks,2018-05-04
Everything's Gonna Be Alright,David Lee Murphy & Kenny Chesney,2018-05-04
Close,Rae Sremmurd & Travis Scott,2018-05-04
Better Now,Post Malone,2018-05-11
Paranoid,Post Malone,2018-05-11
Rich & Sad,Post Malone,2018-05-11
Spoil My Night,Post Malone Featuring Swae Lee,2018-05-11
Ball For Me,Post Malone Featuring Nicki Minaj,2018-05-11
Stay,Post Malone,2018-05-11
Same Bitches,Post Malone Featuring G-Eazy & YG,2018-05-11
Zack And Codeine,Post Malone,2018-05-11
